ENT_FED,MUNICIPIO,ESTRATO,ENT_FED_SEXO,UP_TOTAL,UP_PERS_FISIC,P_UP_PERS_CIS,P_PFISIC_PROD,P_PROD_PRESC,P_PROD_PRIM,P_PROD_SEC,P_PROD_BACH,P_PROD_TEC,P_PROD_LIC,P_PROD_POSTG,P_PROD_NOSABE,P_PROD_SINEST
29 TLA,Xaltocan,Mujeres,    Mujeres   ,0.0,406.0,54.926108374384235,20.436507936507937,0.4854368932038835,37.86407766990291,39.320388349514566,9.70873786407767,3.883495145631068,6.310679611650485,0.4854368932038835,0.0,1.941747572815534
29 TLA,Papalotla de Xicohténcatl,,  Papalotla De Xicohténcatl,848.0,848.0,69.33962264150944,0.9909641914252779,0.18761726078799248,48.030018761726076,27.204502814258912,9.75609756097561,2.4390243902439024,6.941838649155723,0.37523452157598497,0.0,5.065666041275797
29 TLA,Papalotla de Xicohténcatl,Hombres,    Hombres,0.0,629.0,68.99841017488076,73.17073170731707,0.2564102564102564,46.15384615384615,28.71794871794872,11.025641025641026,2.5641025641025643,7.435897435897436,0.5128205128205128,0.0,3.3333333333333335
29 TLA,Papalotla de Xicohténcatl,Mujeres,    Mujeres   ,0.0,219.0,70.31963470319634,26.829268292682926,0.0,53.14685314685315,23.076923076923077,6.293706293706293,2.097902097902098,5.594405594405594,0.0,0.0,9.79020979020979
29 TLA,Xicohtzinco,,  Xicohtzinco,349.0,349.0,100.0,0.6098241178001711,0.0,37.5,29.26829268292683,16.463414634146343,0.9146341463414634,14.329268292682928,0.3048780487804878,0.0,1.2195121951219512
29 TLA,Xicohtzinco,Hombres,    Hombres,0.0,250.0,100.0,71.34146341463415,0.0,30.76923076923077,32.9059829059829,17.521367521367523,0.8547008547008547,17.094017094017094,0.42735042735042733,0.0,0.42735042735042733
29 TLA,Xicohtzinco,Mujeres,    Mujeres   ,0.0,99.0,100.0,28.658536585365855,0.0,54.255319148936174,20.21276595744681,13.829787234042554,1.0638297872340425,7.446808510638298,0.0,0.0,3.1914893617021276
29 TLA,Yauhquemehcan,,  Yauhquemehcan,668.0,668.0,86.37724550898204,1.0058379503960138,0.5545286506469501,44.54713493530499,27.35674676524954,11.645101663585953,4.251386321626617,7.208872458410351,0.5545286506469501,0.18484288354898337,3.6968576709796674
29 TLA,Yauhquemehcan,Hombres,    Hombres,0.0,533.0,86.86679174484053,79.66728280961183,0.6960556844547564,46.403712296983755,26.682134570765662,11.832946635730858,3.0162412993039442,7.424593967517401,0.46403712296983757,0.23201856148491878,3.2482598607888633
29 TLA,Yauhquemehcan,Mujeres,    Mujeres   ,0.0,135.0,84.44444444444444,20.33271719038817,0.0,37.27272727272727,30.0,10.909090909090908,9.090909090909092,6.363636363636363,0.9090909090909091,0.0,5.454545454545454
29 TLA,Zacatelco,,  Zacatelco,2325.0,2322.0,55.770887166236,2.1436805116573088,0.17346053772766695,44.31916738941891,27.66695576756288,12.055507372072853,2.2549869904596704,9.627059843885515,0.17346053772766695,0.0,3.7294015611448397
29 TLA,Zacatelco,Hombres,    Hombres,0.0,1778.0,55.23059617547806,74.24111014744146,0.11682242990654206,43.691588785046726,28.38785046728972,12.383177570093459,2.336448598130841,9.57943925233645,0.2336448598130841,0.0,3.2710280373831777
29 TLA,Zacatelco,Mujeres,    Mujeres   ,0.0,544.0,57.536764705882355,25.758889852558543,0.3367003367003367,46.127946127946124,25.589225589225588,11.11111111111111,2.0202020202020203,9.764309764309765,0.0,0.0,5.05050505050505
29 TLA,Benito Juárez,,  Benito Juárez,474.0,473.0,71.45877378435517,0.5633436210166214,0.33003300330033003,44.224422442244226,33.993399339933994,7.260726072607261,0.33003300330033003,4.29042904290429,0.33003300330033003,0.0,9.24092409240924
29 TLA,Benito Juárez,Hombres,    Hombres,0.0,392.0,70.15306122448979,80.85808580858085,0.40816326530612246,44.08163265306123,35.91836734693877,6.938775510204081,0.40816326530612246,4.489795918367347,0.40816326530612246,0.0,7.346938775510204
29 TLA,Benito Juárez,Mujeres,    Mujeres   ,0.0,81.0,77.77777777777777,19.141914191419144,0.0,44.827586206896555,25.862068965517242,8.620689655172415,0.0,3.4482758620689653,0.0,0.0,17.24137931034483
29 TLA,Emiliano Zapata,,  Emiliano Zapata,735.0,735.0,80.27210884353741,1.0188524894954076,0.0,51.277372262773724,30.10948905109489,3.832116788321168,0.36496350364963503,0.7299270072992701,0.0,0.0,13.686131386861314
29 TLA,Emiliano Zapata,Hombres,    Hombres,0.0,637.0,83.35949764521193,89.5985401459854,0.0,50.712830957230146,31.364562118126273,4.0733197556008145,0.20366598778004075,0.6109979633401222,0.0,0.0,13.034623217922608
29 TLA,Emiliano Zapata,Mujeres,    Mujeres   ,0.0,98.0,60.204081632653065,10.401459854014599,0.0,56.14035087719298,19.29824561403509,1.7543859649122806,1.7543859649122806,1.7543859649122806,0.0,0.0,19.29824561403509
29 TLA,Lázaro Cárdenas,,  Lázaro Cárdenas,506.0,502.0,76.49402390438247,0.6507269549696947,0.0,55.42857142857143,30.285714285714285,5.428571428571429,0.5714285714285714,3.142857142857143,0.0,0.0,5.142857142857143
29 TLA,Lázaro Cárdenas,Hombres,    Hombres,0.0,437.0,77.80320366132723,88.57142857142857,0.0,56.774193548387096,30.0,5.483870967741935,0.3225806451612903,3.225806451612903,0.0,0.0,4.193548387096774
29 TLA,Lázaro Cárdenas,Mujeres,    Mujeres   ,0.0,65.0,67.6923076923077,11.428571428571429,0.0,45.0,32.5,5.0,2.5,2.5,0.0,0.0,12.5
29 TLA,La Magdalena Tlaltelulco,,  La Magdalena Tlaltelulco,68.0,68.0,100.0,0.11527163202320306,0.0,35.483870967741936,32.25806451612903,14.516129032258064,1.6129032258064515,12.903225806451612,0.0,0.0,3.225806451612903
29 TLA,La Magdalena Tlaltelulco,Hombres,    Hombres,0.0,44.0,100.0,62.903225806451616,0.0,35.8974358974359,25.641025641025642,12.820512820512821,0.0,20.512820512820515,0.0,0.0,5.128205128205129
29 TLA,La Magdalena Tlaltelulco,Mujeres,    Mujeres   ,0.0,24.0,100.0,37.096774193548384,0.0,34.78260869565217,43.47826086956522,17.391304347826086,4.3478260869565215,0.0,0.0,0.0,0.0
29 TLA,San Damián Texóloc,,  San Damián Texóloc,873.0,873.0,45.81901489117984,0.6618822741977466,0.0,38.48314606741573,26.96629213483146,16.01123595505618,3.0898876404494384,13.48314606741573,0.2808988764044944,0.2808988764044944,1.404494382022472
29 TLA,San Damián Texóloc,Hombres,    Hombres,0.0,719.0,48.67872044506259,88.20224719101124,0.0,36.62420382165605,27.70700636942675,16.878980891719745,3.5031847133757963,13.375796178343949,0.3184713375796178,0.3184713375796178,1.2738853503184713
29 TLA,San Damián Texóloc,Mujeres,    Mujeres   ,0.0,154.0,32.467532467532465,11.797752808988765,0.0,52.38095238095238,21.428571428571427,9.523809523809524,0.0,14.285714285714286,0.0,0.0,2.380952380952381
29 TLA,San Francisco Tetlanohcan,,  San Francisco Tetlanohcan,977.0,975.0,78.15384615384616,1.3702450451790429,0.0,43.82632293080054,27.815468113975577,12.618724559023066,1.3568521031207599,7.055630936227951,0.6784260515603799,0.0,6.648575305291724
29 TLA,San Francisco Tetlanohcan,Hombres,    Hombres,0.0,685.0,76.4963503649635,68.52103120759837,0.0,45.148514851485146,25.14851485148515,13.861386138613861,0.7920792079207921,8.118811881188119,0.594059405940594,0.0,6.336633663366337
29 TLA,San Francisco Tetlanohcan,Mujeres,    Mujeres   ,0.0,290.0,82.06896551724138,31.478968792401627,0.0,40.94827586206897,33.62068965517241,9.913793103448276,2.586206896551724,4.741379310344827,0.8620689655172413,0.0,7.327586206896552
29 TLA,San Jerónimo Zacualpan,,  San Jerónimo Zacualpan,566.0,566.0,39.75265017667844,0.4090283716952367,0.0,43.63636363636363,20.0,14.090909090909092,0.9090909090909091,17.727272727272727,1.8181818181818181,0.0,1.8181818181818181
29 TLA,San Jerónimo Zacualpan,Hombres,    Hombres,0.0,449.0,43.42984409799555,86.36363636363636,0.0,41.578947368421055,20.0,15.263157894736842,1.0526315789473684,18.42105263157895,2.1052631578947367,0.0,1.5789473684210527
29 TLA,San Jerónimo Zacualpan,Mujeres,    Mujeres   ,0.0,117.0,25.641025641025642,13.636363636363637,0.0,56.666666666666664,20.0,6.666666666666667,0.0,13.333333333333334,0.0,0.0,3.3333333333333335
29 TLA,San José Teacalco,,  San José Teacalco,773.0,773.0,74.90297542043984,0.9351875952850184,0.0,44.731610337972164,30.81510934393638,9.542743538767395,1.5904572564612327,5.566600397614314,0.5964214711729622,0.0,7.157057654075547
29 TLA,San José Teacalco,Hombres,    Hombres,0.0,630.0,75.87301587301587,83.89662027833002,0.0,45.26066350710901,31.990521327014218,10.189573459715639,0.9478672985781991,5.213270142180095,0.7109004739336493,0.0,5.687203791469194
29 TLA,San José Teacalco,Mujeres,    Mujeres   ,0.0,143.0,70.62937062937063,16.10337972166998,0.0,41.97530864197531,24.691358024691358,6.172839506172839,4.938271604938271,7.407407407407407,0.0,0.0,14.814814814814815
29 TLA,San Juan Huactzinco,,  San Juan Huactzinco,283.0,283.0,45.936395759717314,0.1952180864909084,0.0,33.333333333333336,19.047619047619047,15.238095238095237,5.714285714285714,22.857142857142858,0.9523809523809523,0.0,2.857142857142857
29 TLA,San Juan Huactzinco,Hombres,    Hombres,0.0,227.0,48.01762114537445,84.76190476190476,0.0,30.337078651685392,19.10112359550562,14.606741573033707,6.741573033707865,24.719101123595507,1.1235955056179776,0.0,3.3707865168539324
