ENT_FED,MUNICIPIO,ESTRATO,ENT_FED_SEXO,UP_TOTAL,UP_PERS_FISIC,P_UP_PERS_CIS,P_PFISIC_PROD,P_SI_INDIG,P_INDIG_DIAL,P_INDIG_NO_DIAL,P_NO_INDIG,P_NO_INDIG_DIAL,P_NO_IND_NO_DIAL,P_PROD_AFRO
01 AGS,Tepezalá,,  Tepezalá,1586.0,1565.0,64.60063897763578,6.854653828519028,11.81716833890747,0.0,100.0,88.18283166109254,0.1264222503160556,99.87357774968395,0.0
01 AGS,Tepezalá,Hombres,    Hombres,0.0,1369.0,63.91526661796932,85.73021181716834,11.833550065019505,0.0,100.0,88.16644993498049,0.0,100.0,0.0
01 AGS,Tepezalá,Mujeres,    Mujeres   ,0.0,196.0,69.38775510204081,14.269788182831661,11.71875,0.0,100.0,88.28125,0.8849557522123894,99.11504424778761,0.0
01 AGS,El Llano,,  El Llano,2199.0,2190.0,73.4703196347032,11.99755463854501,7.13375796178344,1.7857142857142858,98.21428571428571,92.86624203821655,0.205761316872428,99.79423868312757,0.12738853503184713
01 AGS,El Llano,Hombres,    Hombres,0.0,1874.0,74.7598719316969,86.81528662420382,6.896551724137931,2.127659574468085,97.87234042553192,93.10344827586206,0.2364066193853428,99.76359338061465,0.1467351430667645
01 AGS,El Llano,Mujeres,    Mujeres   ,0.0,316.0,65.82278481012658,13.184713375796179,8.695652173913043,0.0,100.0,91.30434782608695,0.0,100.0,0.0
01 AGS,San Francisco de los Romo,,  San Francisco De Los Romo,546.0,534.0,72.09737827715355,2.7815986550511997,5.21978021978022,0.0,100.0,94.78021978021978,0.5797101449275363,99.42028985507247,0.27472527472527475
01 AGS,San Francisco de los Romo,Hombres,    Hombres,0.0,477.0,74.0041928721174,91.75824175824175,5.389221556886228,0.0,100.0,94.61077844311377,0.6329113924050633,99.36708860759494,0.2994011976047904
01 AGS,San Francisco de los Romo,Mujeres,    Mujeres   ,0.0,57.0,56.14035087719298,8.241758241758241,3.3333333333333335,0.0,100.0,96.66666666666667,0.0,100.0,0.0
02 BCN,,, Baja California,7777.0,7332.0,55.56464811783961,0.11402678239500608,11.548879586308791,17.270788912579956,82.72921108742004,88.45112041369121,0.6124721603563474,99.38752783964365,0.41861610440778135
02 BCN,,Hombres,   Hombres,0.0,6326.0,56.781536515965854,88.18025116966264,11.393465512426696,15.931372549019608,84.06862745098039,88.6065344875733,0.6303183107469272,99.36968168925307,0.41887740854509914
02 BCN,,Mujeres,   Mujeres   ,0.0,1006.0,47.912524850894634,11.819748830337355,12.708333333333334,26.229508196721312,73.77049180327869,87.29166666666667,0.477326968973747,99.52267303102626,0.4166666666666667
02 BCN,Ensenada,,  Ensenada,1483.0,1290.0,75.1937984496124,23.836493474513667,11.363636363636363,34.54545454545455,65.45454545454545,88.63636363636364,0.34965034965034963,99.65034965034965,0.0
02 BCN,Ensenada,Hombres,    Hombres,0.0,1128.0,75.08865248226951,87.29338842975207,11.005917159763314,30.107526881720432,69.89247311827957,88.99408284023669,0.39893617021276595,99.60106382978724,0.0
02 BCN,Ensenada,Mujeres,    Mujeres   ,0.0,162.0,75.92592592592592,12.706611570247935,13.821138211382113,58.8235294117647,41.1764705882353,86.17886178861788,0.0,100.0,0.0
02 BCN,Mexicali,,  Mexicali,4964.0,4802.0,41.274468971261975,48.73183944841172,5.709954522486104,3.5398230088495577,96.46017699115045,94.2900454775139,0.4287245444801715,99.57127545551982,0.30318342597271347
02 BCN,Mexicali,Hombres,    Hombres,0.0,4118.0,43.006313744536186,89.38858009095503,5.992085924250989,2.830188679245283,97.16981132075472,94.00791407574901,0.4810583283223091,99.5189416716777,0.3391746749576032
02 BCN,Mexicali,Mujeres,    Mujeres   ,0.0,684.0,30.84795321637427,10.611419909044972,3.3333333333333335,14.285714285714286,85.71428571428571,96.66666666666667,0.0,100.0,0.0
02 BCN,Tecate,,  Tecate,270.0,259.0,95.36679536679537,6.057621275547895,15.853658536585366,15.384615384615385,84.61538461538461,84.14634146341463,0.966183574879227,99.03381642512078,0.0
02 BCN,Tecate,Hombres,    Hombres,0.0,229.0,94.75982532751091,88.21138211382114,15.2073732718894,18.181818181818183,81.81818181818181,84.7926267281106,0.5434782608695652,99.45652173913044,0.0
02 BCN,Tecate,Mujeres,    Mujeres   ,0.0,30.0,100.0,11.788617886178862,20.689655172413794,0.0,100.0,79.3103448275862,4.3478260869565215,95.65217391304348,0.0
02 BCN,Tijuana,,  Tijuana,159.0,154.0,96.75324675324676,3.6444225560206847,9.45945945945946,7.142857142857143,92.85714285714286,90.54054054054055,1.492537313432836,98.50746268656717,0.0
02 BCN,Tijuana,Hombres,    Hombres,0.0,131.0,96.94656488549619,85.13513513513513,8.73015873015873,0.0,100.0,91.26984126984127,1.7391304347826086,98.26086956521739,0.0
02 BCN,Tijuana,Mujeres,    Mujeres   ,0.0,23.0,95.65217391304348,14.864864864864865,13.636363636363637,33.333333333333336,66.66666666666667,86.36363636363636,0.0,100.0,0.0
02 BCN,Playas de Rosarito,,  Playas De Rosarito,100.0,93.0,95.6989247311828,2.166953952228515,5.681818181818182,20.0,80.0,94.31818181818181,0.0,100.0,2.272727272727273
02 BCN,Playas de Rosarito,Hombres,    Hombres,0.0,78.0,94.87179487179488,82.95454545454545,4.109589041095891,33.333333333333336,66.66666666666667,95.89041095890411,0.0,100.0,2.73972602739726
02 BCN,Playas de Rosarito,Mujeres,    Mujeres   ,0.0,15.0,100.0,17.045454545454547,13.333333333333334,0.0,100.0,86.66666666666667,0.0,100.0,0.0
02 BCN,San Quintín,,  San Quintín,778.0,711.0,86.35724331926863,14.996306328490519,30.870279146141215,16.48936170212766,83.51063829787235,69.12972085385879,1.66270783847981,98.3372921615202,1.3136288998357963
