ENT_FED,CULTIVO,DESCRIPCION,UP_TOTAL,UP_AGCA,TON_AGCA_CUL,UP_SEMILLA,TON_SEMILLA_CUL,UP_CONSFAM,TON_CONSFAM_CUL,UP_CONSANIM,TON_CONSANIM_CUL,UP_VENTA,TON_VENTA_CUL
09 CDM,Perennes,Perennes,,,,,,,,,,,
09 CDM,Agave,Agave,86.0,84.0,958.3343,3.0,0.6266,10.0,5.984425,0.0,0.0,26.0,951.7232
09 CDM,Aguacate,Aguacate,119.0,118.0,8.7347,3.0,0.0052858,71.0,1.1481059,0.0,0.0,23.0,7.5813
09 CDM,Alfalfa,Alfalfa,59.0,59.0,424.1695,3.0,0.0863,5.0,0.9669,39.0,98.416,24.0,324.7003
09 CDM,Café,Café,4.0,4.0,0.852,0.0,0.0,3.0,0.792,0.0,0.0,1.0,0.06
09 CDM,Espárrago,Espárrago,,,1.5308,0.0,0.0,,0.0032803,0.0,0.0,,1.5275
09 CDM,Fresa,Fresa,44.0,6.0,0.4138,0.0,0.0,4.0,0.0196,0.0,0.0,4.0,0.3942
09 CDM,Guayaba,Guayaba,34.0,34.0,1.1887,2.0,0.131,20.0,0.6428393,0.0,0.0,7.0,0.4149
09 CDM,Limón,Limón,224.0,221.0,16.8029,2.0,0.0002,91.0,6.7734955,0.0,0.0,43.0,10.0292
09 CDM,Mango,Mango,,,0.02,0.0,0.0,,0.02,0.0,0.0,0.0,0.0
09 CDM,Manzana,Manzana,458.0,458.0,118.5987,2.0,0.0039275,324.0,46.9872795,9.0,1.1614,139.0,70.4461
09 CDM,Naranja,Naranja,16.0,15.0,0.3379,0.0,0.0,9.0,0.3379,0.0,0.0,0.0,0.0
09 CDM,Nopal verdura,Nopal verdura,2723.0,2722.0,83679.5012,253.0,424.0063257,1523.0,2839.4603229,168.0,284.4388,2552.0,80131.5958
09 CDM,Nuez,Nuez,78.0,78.0,2.7771,0.0,0.0,55.0,1.8156031,1.0,0.0023,18.0,0.9592
09 CDM,Papaya,Papaya,,,0.001,0.0,0.0,,0.001,0.0,0.0,0.0,0.0
09 CDM,Pasto cultivado,Pasto cultivado,36.0,36.0,154.6288,1.0,1.54,1.0,0.0053915,20.0,131.1963,15.0,21.8871
09 CDM,Piña,Piña,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09 CDM,Plátano,Plátano,6.0,5.0,0.005,0.0,0.0,1.0,0.005,0.0,0.0,0.0,0.0
09 CDM,Uva,Uva,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10 DGO,,Durango,13841.0,8404.0,,5859.0,,6493.0,,6264.0,,4178.0,
10 DGO,Anuales,Anuales,,,,,,,,,,,
10 DGO,Algodón,Algodón,306.0,306.0,11774.8212,255.0,3.5831537,0.0,0.0,0.0,0.0,306.0,11771.2381
10 DGO,Amaranto,Amaranto,6.0,6.0,6.43,1.0,0.005,6.0,6.425,0.0,0.0,0.0,0.0
10 DGO,Avena forrajera,Avena forrajera,12763.0,12763.0,1372973.4719,505.0,457.9402623,3358.0,77.5692667,11273.0,861767.9718,4651.0,510669.9906
10 DGO,Brócoli,Brócoli,16.0,15.0,258.1799,9.0,0.0077,10.0,0.5558,10.0,0.6367,15.0,256.9797
10 DGO,Calabaza/calabacita,Calabaza/calabacita,614.0,608.0,2429.057,350.0,335.4364167,439.0,953.410003,142.0,293.586,169.0,846.6245
10 DGO,Cebada grano,Cebada grano,446.0,446.0,18055.6339,109.0,94.8158,66.0,5.0979,104.0,657.2269,418.0,17298.4933
10 DGO,Cebolla,Cebolla,120.0,117.0,13437.6069,33.0,472.7276266,44.0,6.9921049,10.0,2.4505,106.0,12955.4367
10 DGO,Chile,Chile,936.0,925.0,13227.0266,392.0,299.7915153,668.0,122.5009506,67.0,4.5331,714.0,12800.201
10 DGO,Frijol,Frijol,34521.0,34521.0,127706.4518,28174.0,9045.3737129,30414.0,9072.4953489,14688.0,836.1954,26109.0,108752.3863
10 DGO,Jitomate (Tomate rojo),Jitomate (Tomate rojo),80.0,39.0,4270.0401,11.0,0.1643,25.0,3.2248233,4.0,0.4445,29.0,4266.2064
10 DGO,Maíz forrajero,Maíz forrajero,11347.0,11347.0,2328167.6909,1758.0,336.3179421,5068.0,1179.2953002,9273.0,1311301.7974,5654.0,1015350.2802
10 DGO,Maíz grano amarillo,Maíz grano amarillo,2041.0,2041.0,50395.9034,1155.0,313.7108231,1108.0,1163.1388755,1556.0,15213.341,923.0,33705.7115
10 DGO,Maíz grano blanco,Maíz grano blanco,28389.0,28389.0,275917.6218,20327.0,2031.8973575,22047.0,16482.9063023,20602.0,84514.1622,12365.0,172888.6548
10 DGO,Melón,Melón,651.0,649.0,84048.6955,191.0,12.4041593,205.0,25.5197618,202.0,102.1004,633.0,83908.6712
10 DGO,Papa,Papa,503.0,503.0,679.6234,300.0,45.3575174,467.0,330.7120826,21.0,78.0687,30.0,225.4851
